C	Unnamed: 0	accuracy	best_epoch	best_validation_accuracy	best_validation_loss	bucket	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	dim	embedding	epoch	evaluate_on_test	f1	iterator.batch_size	iterator.type	label_prefix	loss	lr	lr_update_rate	maxn	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	neg	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	penalty	precision	random_state	recall	solver	test_data_path	thread	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size	word_ngrams	ws
	0.0		2.0	0.9002	0.2552574147717862		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			11.0	False		64.0	basic						0.2		['meanpool final_state']		True		319.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4444.7440000000015	12381.0	5897.0	9013.0	11339.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.003458448454573916	adam	10.0	+accuracy	0.9946	4444.7440000000015	1300.0	11.0	12381.0	5897.0	9013.0	11339.0	0.014578800283955596	0.0	0.8824	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.743545265891884	10000.0		
	1.0		7.0	0.637	0.6900819924813283		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			16.0	False		64.0	basic						0.2		['final_state meanpool maxpool']		True		371.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4464.116	13917.0	5145.0	5849.0	9349.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	1.1009817866123692e-06	adam	10.0	+accuracy	0.6132	4464.116	2061.0	16.0	13917.0	5145.0	5849.0	9349.0	0.6890184159476918	0.0	0.6352	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6893037180357342	10000.0		
	2.0		24.0	0.8834	0.2773296287919901		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			33.0	False		64.0	basic						0.1		['final_state maxpool attention']		True		489.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4450.404	10641.0	10795.0	3891.0	14255.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.00013283817205127818	adam	10.0	+accuracy	0.9048	4450.404	3138.0	33.0	5181.0	7657.0	2971.0	14255.0	0.2342370105818057	0.0	0.8812	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2773770457958873	10000.0		
	3.0		18.0	0.8506	0.3468018082689636		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			27.0	False		64.0	basic						0.2		['maxpool meanpool']		True		167.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4435.6359999999995	10641.0	10795.0	3891.0	14255.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	8.772237631717864e-05	adam	10.0	+accuracy	0.8657	4435.6359999999995	1861.0	27.0	2889.0	6581.0	3891.0	14255.0	0.31921500134201475	0.0	0.8502	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.3456653417854369	10000.0		
	4.0		19.0	0.8546	0.33141827866246426		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			28.0	False		64.0	basic						0.1		['attention meanpool final_state maxpool']		True		131.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4435.112	13357.0	4629.0	9809.0	8341.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	9.563348931367764e-05	adam	10.0	+accuracy	0.87385	4435.112	1934.0	28.0	13357.0	4629.0	9809.0	4045.0	0.3011079448432968	0.0	0.8534	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.3304199930044669	10000.0		
	5.0		19.0	0.5816	0.6921108727213703		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			28.0	False		64.0	basic						0.3		['meanpool attention final_state']		True		70.0	50.0			3.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4450.544	13357.0	3357.0	9809.0	4645.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	2.0762121044835254e-06	adam	10.0	+accuracy	0.53065	4450.532	3795.0000000000014	28.0	9935.0	3357.0	2643.0	2863.0	0.6921196757033229	0.0	0.5794	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6920946836471558	10000.0		
	6.0		29.0	0.6614	0.6875210630742811		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			38.0	False		64.0	basic						0.1		['attention']		True		223.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4436.276	5181.0	7657.0	3843.0	14255.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	2.258636034853997e-06	adam	10.0	+accuracy	0.63685	4436.276	2399.0	38.0	5181.0	2833.0	3623.0	6301.0	0.6873178609643882	0.0	0.6609999999999999	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6874521661408339	10000.0		
	7.0		9.0	0.6634	0.6803303662734695		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			18.0	False		64.0	basic						0.2		['maxpool']		True		197.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4442.104	4103.0	2197.0	4827.0	4623.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	4.246651429117988e-06	adam	10.0	+accuracy	0.6555	4442.104	1730.0	18.0	4103.0	0.0	4827.0	4623.0	0.6766196902567586	0.0	0.6622	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.676951951618436	10000.0		
	8.0		23.0	0.8432	0.3590806178465674		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			32.0	False		64.0	basic						0.0		['maxpool']		True		172.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4442.8679999999995	13917.0	10889.0	3955.0	6603.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	6.497710180194125e-05	adam	10.0	+accuracy	0.8586	4442.8679999999995	3296.0	32.0	13917.0	2987.0	3955.0	6603.0	0.3322715248448399	0.0	0.8428	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.358699944200395	10000.0		
	9.0		3.0	0.904	0.3026745975772037		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			12.0	False		64.0	basic						0.4		['meanpool attention']		True		81.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4444.468	2889.0	10795.0	3891.0	14255.0								s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.0035337295340145828	adam	10.0	+accuracy	0.9998	4444.468	1264.0	12.0	2889.0	7109.0	2971.0	14255.0	0.0015180282526836989	0.0	0.8959999999999999	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.778291832797135	10000.0		
