	best_epoch	best_validation_em	best_validation_end_acc	best_validation_f1	best_validation_loss	best_validation_span_acc	best_validation_start_acc	dataset_reader.token_indexers.token_characters.character_tokenizer.byte_encoding	dataset_reader.token_indexers.token_characters.character_tokenizer.end_tokens	dataset_reader.token_indexers.token_characters.character_tokenizer.start_tokens	dataset_reader.token_indexers.token_characters.min_padding_length	dataset_reader.token_indexers.token_characters.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	epoch	iterator.batch_size	iterator.sorting_keys	iterator.type	model.dropout	model.modeling_layer.bidirectional	model.modeling_layer.dropout	model.modeling_layer.hidden_size	model.modeling_layer.input_size	model.modeling_layer.num_layers	model.modeling_layer.type	model.num_highway_layers	model.phrase_layer.bidirectional	model.phrase_layer.dropout	model.phrase_layer.hidden_size	model.phrase_layer.input_size	model.phrase_layer.num_layers	model.phrase_layer.type	model.similarity_function.combination	model.similarity_function.tensor_1_dim	model.similarity_function.tensor_2_dim	model.similarity_function.type	model.span_end_encoder.bidirectional	model.span_end_encoder.dropout	model.span_end_encoder.hidden_size	model.span_end_encoder.input_size	model.span_end_encoder.num_layers	model.span_end_encoder.type	model.text_field_embedder.token_embedders.token_characters.dropout	model.text_field_embedder.token_embedders.token_characters.embedding.embedding_dim	model.text_field_embedder.token_embedders.token_characters.embedding.num_embeddings	model.text_field_embedder.token_embedders.token_characters.encoder.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.ngram_filter_sizes	model.text_field_embedder.token_embedders.token_characters.encoder.num_filters	model.text_field_embedder.token_embedders.token_characters.encoder.type	model.text_field_embedder.token_embedders.token_characters.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.mode	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.optimizer.betas	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_cpu_memory_MB	training_duration	training_em	training_end_acc	training_epochs	training_f1	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_span_acc	training_start_acc	training_start_epoch	validation_data_path	validation_em	validation_end_acc	validation_f1	validation_loss	validation_span_acc	validation_start_acc
0	9	0.6599810785241249	0.6556291390728477	0.755040800152921	2.787007674507222	0.5353831598864711	0.6190160832544939	utf-8	[260]	[259]	5	characters	True	single_id	squad	18	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.19173778399782837	True	0.2862788206746435	436	2416	3	lstm	1	True	0.40879797681589897	302	253	3	lstm	x,y,x*y	604	604	linear	True	0.36787386123467775	180	5032	2	lstm	0.17726796373109077	29	262	29	[1, 2, 3]	51	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7725.108	8117	7775	7989	7939	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.355619265011397	0.5	max	2	reduce_on_plateau	20	['0.9482485483040498', '0.9891103799891152']	0.00018449605616507116	adam	10	+em	7724.62	43942.0	0.8637655681000924	0.9077044258496102	18	0.9363132190811979	4879	6175	6323	7513	0	0	0	0	0.5913819387262542	0.8293930296007945	0.8897818468247355	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6457899716177862	0.6371807000946074	0.7485383437526225	4.544715104413285	0.5126773888363292	0.6009460737937559
1	2	0.28420056764427626	0.33027436140018923	0.3879110934243202	8.63091651466358	0.23415326395458846	0.3209082308420057	utf-8	[260]	[259]	5	characters	True	single_id	squad	11	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.3393114139371405	True	0.4528610058673193	332	2504	3	lstm	1	True	0.13825114280493783	313	164	1	lstm	x,y,x*y	626	626	linear	True	0.325033844438405	444	4496	1	lstm	0.12512868172837222	53	262	53	[1, 2, 3, 4]	16	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7682.012	7927	7169	7167	6319	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.892088871405333	0.5	max	2	reduce_on_plateau	20	['0.9838903349528595', '0.9156291486308543']	0.001839648418236443	adam	10	+em	7682.012	22297.0	0.0009360837452482334	0.008401922396374387	11	0.06232902422912786	7927	6297	6285	6319	0	0	0	0	2129.3911801022045	0.0004680418726241167	0.009166771310174774	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.002838221381267739	0.012677388836329235	0.07518816363559483	724.6943240259491	0.0008514664143803217	0.011920529801324504
2	18	0.543046357615894	0.5862819299905393	0.6697757286733309	3.3448182575280656	0.43424787133396403	0.5213812677388836	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.18644959205779316	True	0.4671681735664142	312	2072	3	lstm	3	True	0.46001067506570276	259	240	1	lstm	x,y,x*y	518	518	linear	True	0.04619745199639236	484	3944	3	lstm	0.18292482817174055	36	262	36	[1, 2, 3, 4]	35	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7740.096	8073	7773	7595	7735	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.173556304234147	0.5	max	2	reduce_on_plateau	20	['0.9066174151641276', '0.9661355281779102']	1.6767157289250354e-05	adam	10	+em	7740.096	47621.0	0.555839678535143	0.7067432276624163	19	0.7141247253037462	7345	6175	6323	7513	0	0	0	0	2.553390319358268	0.4990125458053174	0.5600178084224706	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.5401135288552507	0.5771996215704825	0.6667460933013829	3.4369927224521377	0.4320719016083254	0.5253547776726585
3	19	0.09470198675496688	0.15950804162724694	0.19726628270887045	6.966778566905843	0.07587511825922422	0.14087038789025544	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.37653010561969585	True	0.14935636357722976	468	2000	1	lstm	1	True	0.05295606547339016	250	288	2	lstm	x,y,x*y	500	500	linear	True	0.25747274265988634	137	4808	1	lstm	0.2516032249294048	48	262	48	[1, 2, 3, 4]	47	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7638.616	7413	7169	7295	7489	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.500487685024604	0.5	max	2	reduce_on_plateau	20	['0.9919551116960191', '0.9096711792917465']	1.5850477093841604e-06	adam	10	+em	7638.616	29435.000000000004	0.07198712314067512	0.1450130709254672	19	0.16679731859189267	7413	7169	5825	5617	0	0	0	0	7.099190847753934	0.06525188643705979	0.12980741789289832	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.09470198675496688	0.15950804162724694	0.19726628270887045	6.966778566905843	0.07587511825922422	0.14087038789025544
4	7	0.011920529801324504	0.012677388836329235	0.04637069585333999	9.763346383503093	0.0048249763481551565	0.021475875118259224	utf-8	[260]	[259]	5	characters	True	single_id	squad	16	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.36182529920824424	True	0.31797927324575054	300	1640	3	lstm	1	True	0.47299380309590155	205	168	1	lstm	x,y,x*y	410	410	linear	True	0.2704344919219052	332	3440	2	lstm	0.2755194795199495	19	262	19	[1, 2, 3, 4]	17	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7651.86	7927	8015	7167	6319	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.20774429205342	0.5	max	2	reduce_on_plateau	20	['0.9428000011678097', '0.9094223558404093']	0.030223019478480613	adam	10	+em	7651.86	30160.000000000004	0.0004680418726241167	0.008653066815831232	16	0.06362531566319529	7927	6297	6285	6319	0	0	0	0	9.890644551542795	0.0001940661423075606	0.008869964268998505	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0	0.004541154210028382	0.06586500372331706	9.763881646558845	0.0	0.021475875118259224
5	19	0.23339640491958372	0.29489120151371806	0.34574092813532636	5.725190898473973	0.18968779564806054	0.2507095553453169	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.47719517796114713	True	0.33373363139640966	279	968	2	lstm	3	True	0.3666252007785256	121	229	2	lstm	x,y,x*y	242	242	linear	True	0.37278057321459035	261	2642	3	lstm	0.09155637581639015	25	262	25	[1, 2, 3]	43	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7639.684	8053	7169	7295	7489	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	8.343239870235186	0.5	max	2	reduce_on_plateau	20	['0.9510331687613348', '0.9521663831793526']	6.8914428480040516e-06	adam	10	+em	7639.684	34298.0	0.1723307343691138	0.2664528133882807	19	0.289456555337685	5725	7169	5825	6319	0	0	0	0	5.967847664280025	0.15664562380849095	0.2241920569869519	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.23339640491958372	0.29489120151371806	0.34574092813532636	5.725190898473973	0.18968779564806054	0.2507095553453169
6	7	0.01097445600756859	0.004541154210028382	0.04410909145357748	9.774327438285239	0.006149479659413435	0.008798486281929991	utf-8	[260]	[259]	5	characters	True	single_id	squad	16	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4858687673473367	True	0.46394434641787724	323	1752	1	lstm	3	True	0.10245239772288833	219	289	1	lstm	x,y,x*y	438	438	linear	True	0.43166405949252157	182	3690	1	lstm	0.07261348952171232	56	262	56	[1, 2, 3]	63	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7659.836	8037	7951	7071	7287	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.775340828856175	0.5	max	2	reduce_on_plateau	20	['0.9005041902730675', '0.9661055888243709']	0.02843717498321482	adam	10	+em	7659.836	19791.0	0.0005365358052032557	0.008116531010627976	16	0.06481215755638299	7971	7773	7071	7147	0	0	0	0	9.84247219103112	0.0002168974531672736	0.00944074704049133	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.008798486281929991	0.006433301797540208	0.030921866016125295	9.768180216675267	0.0062440870387890255	0.021475875118259224
7	2	0.010406811731315043	0.00728476821192053	0.025815517171494197	9.769392319418118	0.00728476821192053	0.021475875118259224	utf-8	[260]	[259]	5	characters	True	single_id	squad	11	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4344507446458181	True	0.4267496507274662	364	920	3	lstm	3	True	0.06433059987401885	115	259	1	lstm	x,y,x*y	230	230	linear	True	0.39115007353195747	319	3104	2	lstm	0.06859709343160325	39	262	39	[1, 2, 3]	53	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7639.808	8073	6175	6827	6067	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.786965754781454	0.5	max	2	reduce_on_plateau	20	['0.9118455857734612', '0.9634406470118455']	0.050806990419548	adam	10	+em	7639.808	21336.0	0.0005365358052032557	0.008219271909496683	11	0.06329936443516375	6879	6175	6805	6067	0	0	0	0	10.720587524518574	0.0002054817977374171	0.008778639025559653	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.010406811731315043	0.00728476821192053	0.02581551717149419	9.770534756324295	0.00728476821192053	0.021475875118259224
8	4	0.010501419110690633	0.004541154210028382	0.030848414883441568	9.777071987446426	0.0001892147587511826	0.006433301797540208	utf-8	[260]	[259]	5	characters	True	single_id	squad	13	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.27766674675184144	True	0.3837078377170489	132	872	1	lstm	2	True	0.2908185981112716	109	280	1	lstm	x,y,x*y	218	218	linear	True	0.3753846219700075	200	1664	1	lstm	0.15062776934368688	44	262	44	[1, 2, 3, 4, 5]	36	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7634.236	4353	8089	7825	7491	5353	7461	4301	6457	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.102485867399938	0.5	max	2	reduce_on_plateau	20	['0.9784839364820097', '0.9642885362557124']	0.09442190065674336	adam	10	+em	7633.152	15013.000000000002	0.0007306019475108163	0.008287765842075823	13	0.06418492429001434	4353	4955	5095	4231	0	0	0	0	10.645367316851333	0.0003082226966061256	0.00845900067352367	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0007568590350047304	0.005298013245033113	0.08796660124088788	9.767094824209517	0.0005676442762535478	0.021475875118259224
9	14	0.6819299905392621	0.6683065279091769	0.7722391864727043	2.6084918438396367	0.554872280037843	0.6401135288552507	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.46450521305955367	True	0.31595435177548925	423	976	3	lstm	3	True	0.47275550165251645	122	199	1	lstm	x,y,x*y	244	244	linear	True	0.03425128934127958	138	3514	1	lstm	0.15227109937607858	43	262	43	[1, 2, 3]	33	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7650.196	8037	7951	7357	7287	0	0	0	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.501417598546237	0.5	max	2	reduce_on_plateau	20	['0.9508381145919034', '0.9296643537895195']	0.0005565235180479396	adam	10	+em	7650.196	31617.000000000004	0.7033870249660384	0.781938149978881	19	0.8346399480856992	8037	7951	7069	5847	0	0	0	0	1.6529978518344497	0.647336156805443	0.7425313074350164	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6748344370860927	0.6661305581835383	0.770766942428475	2.77776718365082	0.5498580889309366	0.640964995269631
