	Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.granularity	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	dataset_reader.use_subtrees	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.elmo.do_layer_norm	model.input_embedder.token_embedders.elmo.dropout	model.input_embedder.token_embedders.elmo.options_file	model.input_embedder.token_embedders.elmo.requires_grad	model.input_embedder.token_embedders.elmo.type	model.input_embedder.token_embedders.elmo.weight_file	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.lazy	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_dataset_reader.use_subtrees	validation_loss	vocabulary.max_vocab_size
0	0	4	0.9013761467889908	0.3666907123156956	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	13	False	64	basic	0.2	['attention maxpool']	True	288	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4361.8679999999995	7441	5025	7645	7205		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00015314526027824423	adam	10	+accuracy	0.9999089013502844	4361.8679999999995	15849.000000000002	13	6915	5025	4449	6761	0.0003628905788120835	0	0.9002293577981652	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.7865230249507087	
1	1	6	0.5137614678899083	0.6966974564961025	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	15	False	64	basic	0.4	['maxpool meanpool final_state']	True	339	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4385.708	5617	4799	6887	7975		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00386686452055442	adam	10	+accuracy	0.5665728687977003	4385.7	18688.0	15	5617	4799	6881	7975	0.6800757749247427	0	0.4885321100917431	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6960375351565224	
2	2	8	0.893348623853211	0.4063637469496046	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	17	False	64	basic	0.1	['meanpool maxpool']	True	214	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4363.86	7227	6119	7271	7455		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	5.627814142791356e-06	adam	10	+accuracy	0.9839970038666316	4363.848	20264.0	17	7227	5515	7263	7455	0.052093048957586666	0	0.8830275229357798	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.4652589921440397	
3	3	6	0.8646788990825688	0.4444846170289176	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	15	False	64	basic	0.0	['final_state maxpool attention meanpool']	True	268	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4370.432	7441	6019	6727	7205		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.0006387315452330481	adam	10	+accuracy	0.9996659716177096	4370.42	18654.0	15	7441	5025	4445	6761	0.0012598312215123613	0	0.8543577981651376	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	1.3155928254127502	
4	4	16	0.8807339449541285	0.3731146348374231	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	25	False	64	basic	0.4	['final_state attention maxpool']	True	91	1024	3	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4352.6759999999995	7221	4819	6887	7975		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	2.632362322453403e-06	adam	10	+accuracy	0.9648460432819806	4352.668	30100.000000000004	25	7221	4819	5715	7437	0.12138302001856036	0	0.8795871559633027	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.3773967091526304	
5	5	0	0.9002293577981652	0.2462723829916545	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	9	False	64	basic	0.4	['maxpool']	True	234	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4374.42	7227	5437	7263	7455		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.00020038976009976783	adam	10	+accuracy	0.9978844869121608	4374.412	11546.0	9	7227	5437	7263	7455	0.006679024209623782	0	0.8967889908256881	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6267609915563038	
6	6	6	0.5378440366972477	0.6902433250631604	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	15	False	64	basic	0.4	['maxpool meanpool attention']	True	491	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4369.608	7227	5531	7271	7455		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.014751784598373298	adam	10	+accuracy	0.5420167216632589	4369.608	18220.0	15	5731	5521	5881	5707	0.6986767795187822	0	0.5091743119266054	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.6938352031367165	
7	7	12	0.8600917431192661	0.3679457892264639	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	21	False	64	basic	0.1	['final_state attention maxpool meanpool']	True	74	1024	2	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4349.592000000001	5617	4799	6887	7975		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	2.779178891211304e-06	adam	10	+accuracy	0.938761463246756	4349.592000000001	25376.0	21	5617	4799	4773	7975	0.17673164084698484	0	0.8532110091743119	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.3691175835473197	
8	8	1	0.5091743119266054	0.7244715009416852	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	10	False	64	basic	0.0	['final_state']	True	143	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4350.78	6953	7043	6601	6761		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	0.09090985766758154	adam	10	+accuracy	0.538828268923214	4350.78	12425.0	10	6947	7043	6601	5851	0.7036191299171646	0	0.4908256880733945	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.7034993512289864	
9	9	8	0.8887614678899083	0.36350695682423456	2-class	False	6919	elmo_characters			sst_tokens	True	elmo fine-tuned	17	False	64	basic	0.4	['attention final_state meanpool']	True	114	1024	1	lstm	seq2seq	False	0.0	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_options.json	True	elmo_token_embedder	https://s3-us-west-2.amazonaws.com/allennlp/models/elmo/2x4096_512_2048cnn_2xhighway/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5				classifier	4350.3240000000005	5437	6647	6933	5793		https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	0.5	2	reduce_on_plateau	50	1	7.151407672566224e-06	adam	10	+accuracy	0.9874081421948702	4350.3240000000005	20126.0	17	5437	6647	6933	5793	0.045365510559387486	0	0.8864678899082569	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	False	elmo_characters			sst_tokens	False	0.4298158245427268	
