Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	18	0.39146230699364215	1.3566703332795038	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	27	64	basic	0.4					50.0			[1, 2, 3, 4, 5, 6]	321.0		501.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2536.744	723	667	709	741	697	701	707	661	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	7.493909224899332e-05	adam	10	+accuracy	0.5594569288389513	2536.744	112.0	27	589	587	709	685	679	651	707	629	1.1142726731834127	0	0.3887375113533152	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.3561907476849029
1	1	0.3932788374205268	1.373676551712884	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	10	64	basic	0.0					50.0			[1, 2, 3, 4, 5, 6]	470.0		274.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2539.348	679	651	603	769	665	697	715	677	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.004242491585629123	adam	10	+accuracy	0.99812734082397	2539.348	52.0	10	679	651	603	769	665	697	715	677	0.010512739920349264	0	0.3732970027247957	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	5.230192184448242
2	12	0.3760217983651226	1.4134859045346575	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	21	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7]	454.0		346.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2538.156	723	667	613	741	697	701	707	661	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	2.3991211520594884e-05	adam	10	+accuracy	0.4352762172284644	2538.156	98.0	21	723	667	0	741	697	701	707	661	1.3458658385632642	0	0.3678474114441417	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.40891436735789
3	16	0.3796548592188919	1.838920632998149	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	25	64	basic	0.3												linear					bag_of_word_counts	classifier	2529.764	569	569	569	569	569	569	569	569	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.02094009686327219	adam	10	+accuracy	0.90999531835206	2529.764	1861.0	25	567	569	569	569	569	569	569	569	0.29145513686226376	0	0.3751135331516803	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.849935246838464
4	13	0.2670299727520436	1158.8529170354207	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	22	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7]	241.0		106.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2537.984	691	697	745	661	711	699	629	647	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0636323228795121	adam	10	+accuracy	0.3469101123595505	2537.984	102.0	22	691	697	745	661	711	699	629	647	1.434846114756456	0	0.2670299727520436	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1176.3439733717178
5	7	0.3333333333333333	1.5289392868677776	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	16	64	basic	0.4					50.0			[1, 2, 3, 4, 5, 6]	421.0		170.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2538.1839999999997	657	621	677	701	663	693	707	719	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	7.2327198885861785e-06	adam	10	+accuracy	0.3514747191011236	2538.1839999999997	75.0	16	657	595	677	701	663	693	675	719	1.5140620434462135	0	0.33242506811989103	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.5218490560849507
6	40	0.3378746594005449	1.481337500943078	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	49	64	basic	0.4		maxpool		True		385.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2542.68	973	1237	757	765	823	1403	997	801	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	2.2912346954726996e-05	adam	10	+accuracy	0.3450374531835206	2542.68	274.0	49	0	0	0	681	677	911	0	801	1.4907345415940925	0	0.3378746594005449	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.4812571671273973
7	3	0.3823796548592189	2.2105613483322992	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	12	64	basic	0.0		attention		True		391.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2543.956	751	1239	925	755	675	921	1193	717	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.02129243966132413	adam	10	+accuracy	1.0	2543.956	69.0	12	751	1239	925	737	675	617	1193	717	0.003541391676486428	0	0.3633060853769301	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.900179624557495
8	12	0.3887375113533152	1.3643262849913702	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	21	64	basic	0.3					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	176.0		255.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2538.22	709	745	665	721	705	741	695	667	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	9.501935198732642e-05	adam	10	+accuracy	0.6142322097378277	2538.212	94.0	21	709	681	0	721	559	741	695	667	1.0478260655011704	0	0.3841961852861036	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.36341306898329
9	23	0.1943687556766576	1.6159907182057698	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	32	64	basic	0.0			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2532.9120000000003	573	573	573	573	573	573	573	573	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	2.508209879715738e-05	adam	10	+accuracy	0.19616104868913856	2532.908	118.0	32	573	573	571	571	573	573	571	573	1.6108414112631957	0	0.1943687556766576	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6157408621576097
10	2	0.3869209809264305	1.4158238106303744	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	11	64	basic	0.2												linear					bag_of_word_counts	classifier	2530.856	569	569	569	569	569	569	569	567	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.007866683259920881	adam	10	+accuracy	0.913506554307116	2530.856	838.0	11	569	569	569	569	10	569	569	567	0.33243071588117684	0	0.3569482288828338	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6876930064625209
11	9	0.21071752951861944	1.6106036305427551	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	18	64	basic	0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2534.828	573	573	573	573	573	571	571	573	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.050959950946983e-06	adam	10	+accuracy	0.18948970037453186	2534.828	66.0	18	571	573	573	571	573	571	123	573	1.6298651677459033	0	0.20799273387829245	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6093006994989183
12	7	0.407811080835604	4.097374478975931	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	16	64	basic	0.2					50.0			[1, 2, 3, 4, 5]	497.0		356.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2539.856	665	697	689	753	715	631	689	695	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.001483099774213131	adam	10	+accuracy	1.0	2539.856	66.0	16	665	697	389	753	715	589	689	695	0.002930538701032525	0	0.39509536784741145	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.637516087955898
13	12	0.2061762034514078	1.6075164013438754	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	21	64	basic	0.3												linear					bag_of_word_counts	classifier	2529.268	569	569	569	569	569	569	569	569	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.477412568019633e-06	adam	10	+accuracy	0.21371722846441948	2529.264	1583.0	21	569	569	569	567	569	569	567	569	1.6075118762343676	0	0.2061762034514078	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6074007153511047
14	3	0.3742052679382379	2.273197816477881	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	12	64	basic	0.4					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	413.0		507.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2539.968	709	683	647	721	687	741	695	667	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.008458647736563895	adam	10	+accuracy	0.9960205992509364	2539.968	56.0	12	709	683	647	721	687	741	0	0	0.01856932246974155	0	0.33969118982742963	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	7.067764772309197
15	1	0.4132606721162579	1.3543386989169652	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	10	64	basic	0.0		attention		True		367.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2544.2960000000003	1419	1173	757	1169	641	787	853	1335	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.012009673558031116	adam	10	+accuracy	0.9990636704119852	2544.2960000000003	58.00000000000001	10	1419	1173	757	1169	0	10	853	715	0.005570319495094356	0	0.3851044504995459	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.99753283129798
16	6	0.3460490463215259	1.5562702086236742	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	15	64	basic	0.0												linear					bag_of_word_counts	classifier	2530.064	569	569	569	569	567	569	569	569	/home/suching/reproducibility/data/sst/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.974013844269578e-05	adam	10	+accuracy	0.42743445692883897	2530.064	1148.0	15	569	569	569	569	567	569	569	569	1.5155424991650368	0	0.3442325158946412	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.5501256783803303
