Unnamed: 0	accuracy	best_epoch	best_validation_accuracy	best_validation_loss	bucket	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	dim	embedding	epoch	evaluate_on_test	f1	iterator.batch_size	iterator.type	label_prefix	loss	lr	lr_update_rate	maxn	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	neg	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	precision	recall	test_data_path	thread	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size	word_ngrams	ws
0.0		13.0	0.8928	0.2615331118997139		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			22	False		64.0	basic						0.0			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4420.648	1455.0	1397.0	1339.0	1427.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.0013114000148134713	adam	10.0	+accuracy	0.93285	4420.648	444.0	22.0	1455.0	0.0	1339.0	1427.0	0.19009205508536808	0.0	0.8924	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2599291957066029	10000.0		
1.0		26.0	0.884	0.2813795088212701		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			35	False		64.0	basic						0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4424.352	1323.0	1465.0	1299.0	1443.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.0010708741066321019	adam	10.0	+accuracy	0.905	4424.352	685.0	35.0	1323.0	1269.0	1299.0	1291.0	0.24699293034145245	0.0	0.8838	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2812161973760098	10000.0		
2.0		28.0	0.754	0.5828341464453106		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			37	False		64.0	basic						0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4421.168	1437.0	1277.0	1323.0	1313.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.0002090899487113792	adam	10.0	+accuracy	0.7406	4421.168	725.0	37.0	1437.0	1277.0	1323.0	1313.0	0.5816278076781252	0.0	0.754	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5826441464544851	10000.0		
3.0		0.0	0.4998	0.7082989887346195		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			9	False		64.0	basic						0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4415.948	1265.0	1335.0	1391.0	1485.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	1.2235792834199983e-06	adam	10.0	+accuracy	0.50625	4415.948	198.0	9.0	1265.0	1277.0	1391.0	1485.0	0.7157009489620074	0.0	0.4996	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7037299856354918	10000.0		
4.0		24.0	0.6982	0.639217660396914		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			33	False		64.0	basic						0.0			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4416.624	1323.0	1277.0	1391.0	1485.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	8.296928020369983e-05	adam	10.0	+accuracy	0.7118	4416.624	648.0	33.0	1323.0	1277.0	1323.0	1313.0	0.6346262478219054	0.0	0.6982	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6390382353263565	10000.0		
5.0		0.0	0.8914	0.2593844423565683		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			9	False		64.0	basic						0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4419.536	1265.0	1335.0	1491.0	1461.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.047430780007022895	adam	10.0	+accuracy	0.9807	4419.536	197.0	9.0	1265.0	1335.0	11.0	1461.0	0.05077086247134799	0.0	0.8638	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7723481059074402	10000.0		
6.0		13.0	0.8962	0.2547046400700944		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			22	False		64.0	basic						0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4412.956	1437.0	1277.0	1323.0	1313.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.002442991184855605	adam	10.0	+accuracy	0.94505	4412.956	443.0	22.0	1437.0	1277.0	1323.0	1147.0	0.15359302206684988	0.0	0.8956	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2555238543243348	10000.0		
7.0		33.0	0.7074	0.6565664018256755		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			42	False		64.0	basic						0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4421.044	1455.0	1397.0	1339.0	1427.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	9.634503803149752e-05	adam	10.0	+accuracy	0.6801	4421.044	824.0	42.0	1455.0	0.0	0.0	0.0	0.6552546469929119	0.0	0.7074	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6565488893774492	10000.0		
8.0		1.0	0.895	0.2521753656336024		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			10	False		64.0	basic						0.2			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4419.556	1313.0	1465.0	1299.0	1443.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	0.01078172338979024	adam	10.0	+accuracy	0.9915	4419.432	217.0	10.0	1313.0	1465.0	1299.0	1443.0	0.02678665927292916	0.0	0.8656	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7208452199267436	10000.0		
9.0		27.0	0.6414	0.6790706349324577		False	20000	True	single_id	just_spaces	semisupervised_text_classification_json			36	False		64.0	basic						0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier		4417.184	1313.0	1473.0	1491.0	1243.0					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0.0	0.5	2.0	reduce_on_plateau	50.0	1.0	1.7965661835150725e-05	adam	10.0	+accuracy	0.5999	4417.184	703.0	36.0	1313.0	1265.0	1491.0	1243.0	0.6809341248612815	0.0	0.6414	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6790579157539561	10000.0		
