	best_epoch	best_validation_em	best_validation_end_acc	best_validation_f1	best_validation_loss	best_validation_span_acc	best_validation_start_acc	dataset_reader.token_indexers.token_characters.character_tokenizer.byte_encoding	dataset_reader.token_indexers.token_characters.character_tokenizer.end_tokens	dataset_reader.token_indexers.token_characters.character_tokenizer.start_tokens	dataset_reader.token_indexers.token_characters.min_padding_length	dataset_reader.token_indexers.token_characters.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	epoch	iterator.batch_size	iterator.sorting_keys	iterator.type	model.dropout	model.modeling_layer.bidirectional	model.modeling_layer.dropout	model.modeling_layer.hidden_size	model.modeling_layer.input_size	model.modeling_layer.num_layers	model.modeling_layer.type	model.num_highway_layers	model.phrase_layer.bidirectional	model.phrase_layer.dropout	model.phrase_layer.hidden_size	model.phrase_layer.input_size	model.phrase_layer.num_layers	model.phrase_layer.type	model.similarity_function.combination	model.similarity_function.tensor_1_dim	model.similarity_function.tensor_2_dim	model.similarity_function.type	model.span_end_encoder.bidirectional	model.span_end_encoder.dropout	model.span_end_encoder.hidden_size	model.span_end_encoder.input_size	model.span_end_encoder.num_layers	model.span_end_encoder.type	model.text_field_embedder.token_embedders.token_characters.dropout	model.text_field_embedder.token_embedders.token_characters.embedding.embedding_dim	model.text_field_embedder.token_embedders.token_characters.embedding.num_embeddings	model.text_field_embedder.token_embedders.token_characters.encoder.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.ngram_filter_sizes	model.text_field_embedder.token_embedders.token_characters.encoder.num_filters	model.text_field_embedder.token_embedders.token_characters.encoder.type	model.text_field_embedder.token_embedders.token_characters.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.mode	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.optimizer.betas	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_cpu_memory_MB	training_duration	training_em	training_end_acc	training_epochs	training_f1	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_span_acc	training_start_acc	training_start_epoch	validation_data_path	validation_em	validation_end_acc	validation_f1	validation_loss	validation_span_acc	validation_start_acc	dataset_reader.sample
0	19	0.5526963103122043	0.5762535477767265	0.6688825722325064	3.241353183398629	0.4468306527909177	0.5392620624408704	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.39875874115833904	True	0.15161646983201593	436	1256	2	lstm	3	True	0.4662337649325122	157	204	1	lstm	x,y,x*y	314	314	linear	True	0.4322773141463218	162	3872	3	lstm	0.17457112588194101	24	262	24	[1, 2, 3, 4]	26	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7655.408	7345	7725	7935	6951	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.007202689833438	0.5	max	2	reduce_on_plateau	20	['0.9873914198799304', '0.9597326800142107']	1.736366909946093e-05	adam	10	+em	7655.408	32559.000000000004	0.4751309946460576	0.5761709608557175	19	0.6280924020142382	5355	7575	6389	6951	3.267331848253398	0.4250276829644174	0.5182022625829062	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.5526963103122043	0.5762535477767265	0.6688825722325064	3.241353183398629	0.4468306527909177	0.5392620624408704	115000
1	2	0.012677388836329235	0.01381267738883633	0.04559855481028755	9.76985124957363	0.005203405865657522	0.021475875118259224	utf-8	[260]	[259]	5	characters	True	single_id	squad	11	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.36986551578666244	True	0.4542809284213906	421	2160	2	lstm	3	True	0.10642203267992478	270	352	2	lstm	x,y,x*y	540	540	linear	True	0.008821293225653226	361	4686	3	lstm	0.3825433809662734	33	262	33	[1, 2, 3, 4]	63	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7694.608	8109	7485	6935	8003	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.053243579015417	0.5	max	2	reduce_on_plateau	20	['0.9945264397683093', '0.9688132782589562']	0.005177749399839809	adam	10	+em	7694.608	27470.0	0.0006164453932122512	0.008744392059270084	11	0.06394869503618425	5961	7485	6683	8003	15.967693512189333	0.00023972876402698662	0.008310597152935535	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0	0.004541154210028382	0.06586500372331702	9.769213118820074	0.0	0.021475875118259224	115000
2	13	0.44626300851466416	0.4570482497634816	0.5516403890146683	4.877999353517022	0.35383159886471144	0.4341532639545885	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.08146126834408701	True	0.2702185950805417	414	680	1	lstm	3	True	0.012454851418565116	85	268	3	lstm	x,y,x*y	170	170	linear	True	0.31822036939935944	345	3164	3	lstm	0.27262007814034056	40	262	40	[1, 2, 3, 4]	42	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7664.972	7977	7823	7877	8003	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.981207611274574	0.5	max	2	reduce_on_plateau	20	['0.9427414148351534', '0.920478044183657']	0.0015896781656915223	adam	10	+em	7664.972	37523.0	0.7379536296076439	0.8122010525234307	19	0.8535309089745461	6809	6215	7877	6979	1.248210694044148	0.693078688112878	0.7890386876562517	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.430558183538316	0.4395458845789972	0.5389820909725955	6.068357514541557	0.3404919583727531	0.421286660359508	115000
3	19	0.1868495742667928	0.23169347209082308	0.2725364491500643	6.139722472059565	0.1552507095553453	0.21267738883632922	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.384541749045083	True	0.23417700901824184	461	1104	2	lstm	3	True	0.3721144247761101	138	276	1	lstm	x,y,x*y	276	276	linear	True	0.09965733104617386	399	3870	1	lstm	0.3769794084776033	32	262	32	[1, 2, 3, 4]	44	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7666.416	8043	7725	6389	7977	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.334784901333705	0.5	max	2	reduce_on_plateau	20	['0.9037711169415508', '0.9677156324800544']	0.007047404199021059	adam	10	+em	7666.416	32983.0	0.1300243153460656	0.2040434251532552	19	0.22168955362032508	6821	6191	6389	6309	6.798863375763915	0.11806070845557598	0.18712542380620784	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.1868495742667928	0.23169347209082308	0.2725364491500643	6.139722472059565	0.1552507095553453	0.21267738883632922	115000
4	0	0.0	0.03415326395458846	0.06585637851093055	9.758190281272116	0.0	0.021475875118259224	utf-8	[260]	[259]	5	characters	True	single_id	squad	9	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.06431419149714657	True	0.22389305084968109	471	1792	1	lstm	3	True	0.026291021164066453	224	305	3	lstm	x,y,x*y	448	448	linear	True	0.37341812868528784	215	4618	2	lstm	0.3451590587649226	19	262	19	[1, 2, 3, 4, 5]	41	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7637.212	7309	7575	6389	7977	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.392547080421069	0.5	max	2	reduce_on_plateau	20	['0.9229935431556825', '0.9020150624547731']	0.014236369337303698	adam	10	+em	7637.212	18644.0	0.0005593671160629688	0.030422721720567588	9	0.06018767988905239	6821	6191	6389	6309	9.754364482757708	0.00033105400746583866	0.020354113631434148	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0	0.03415326395458846	0.06585637851093043	9.70861837470766	0.0	0.021475875118259224	115000
5	17	0.012961210974456008	0.012771996215704825	0.04592728141800942	29.069045143300574	0.005203405865657522	0.02052980132450331	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4987627224535318	True	0.045218167600440506	165	1240	1	lstm	2	True	0.12073651546762132	155	193	3	lstm	x,y,x*y	310	310	linear	True	0.4467322288711159	301	2230	2	lstm	0.46319853217293366	31	262	31	[1, 2, 3]	31	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7654.22	6939	7485	7291	8003	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.93338250888576	0.5	max	2	reduce_on_plateau	20	['0.9245612655804923', '0.9387568285277148']	0.03251281011604637	adam	10	+em	7654.22	30403.000000000004	0.0005479514606331122	0.008504663295243096	19	0.06697755680301119	6939	4889	7291	6573	11.00041858925667	0.00023972876402698662	0.013333485542072398	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0011352885525070956	0.03065279091769158	0.05947804407378082	56.138213134569405	0.0006622516556291391	0.01977294228949858	115000
6	9	0.6218543046357616	0.6322611163670766	0.7273406058091959	2.825524566979704	0.5037842951750237	0.5868495742667929	utf-8	[260]	[259]	5	characters	True	single_id	squad	18	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.0009584518096811823	True	0.14670630423515624	131	952	1	lstm	1	True	0.13139277520581472	119	405	3	lstm	x,y,x*y	238	238	linear	True	0.009873670438898308	174	1738	1	lstm	0.4375777137820036	26	262	26	[1, 2, 3, 4, 5]	61	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7644.608	7999	8085	7961	6967	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.031532341353352	0.5	max	2	reduce_on_plateau	20	['0.9895426997976855', '0.999045630504662']	0.00010765656809392443	adam	10	+em	7644.608	26616.0	0.7830340529001473	0.8917910021803902	18	0.8840197503883902	6761	7203	5881	4373	1.113729724236275	0.7335471866117194	0.7679425564218769	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6089877010406812	0.614569536423841	0.7198592172853535	3.646779786530493	0.48770104068117315	0.5821192052980132	115000
7	19	0.3068117313150426	0.3425733207190161	0.41786391736145606	5.013409125822935	0.2455061494796594	0.32667928098391674	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.3602430693664337	True	0.15254431953417324	161	2576	2	lstm	3	True	0.43195323470925456	322	196	3	lstm	x,y,x*y	644	644	linear	True	0.1020540475966859	505	3542	2	lstm	0.299629092176984	49	262	49	[1, 2, 3]	32	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7700.152	7999	8083	7839	7813	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.219436348661272	0.5	max	2	reduce_on_plateau	20	['0.9141994235671654', '0.9220865053460854']	0.0019076125450925377	adam	10	+em	7700.152	44315.0	0.22560759826025412	0.2997522802771721	19	0.3399005631900622	7345	8083	7559	6251	5.612590657630467	0.20027625886140252	0.28734346282491807	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.3068117313150426	0.3425733207190161	0.41786391736145606	5.013409125822935	0.2455061494796594	0.32667928098391674	115000
8	19	0.10094607379375592	0.17142857142857143	0.20447866796179862	6.91931359526249	0.0814569536423841	0.1350047303689688	utf-8	[260]	[259]	5	characters	True	single_id	squad	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.498508860680738	True	0.3838200553795801	136	2984	1	lstm	1	True	0.24663648314495862	373	187	1	lstm	x,y,x*y	746	746	linear	True	0.02815935183501278	96	3800	2	lstm	0.15161126237183742	31	262	31	[1, 2, 3]	29	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7635.9	7967	7203	7839	7555	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.375307768849825	0.5	max	2	reduce_on_plateau	20	['0.9529330819119219', '0.9039851878260343']	2.6914143436230527e-06	adam	10	+em	7635.9	25432.0	0.07116519594972545	0.15270722268519046	19	0.1636191680506433	7967	7203	7839	6251	7.120996530393487	0.06488658546330438	0.1211771823879268	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.10094607379375592	0.17142857142857143	0.20447866796179862	6.91931359526249	0.0814569536423841	0.1350047303689688	115000
9	6	0.6641438032166509	0.6563859981078524	0.7600873688898531	2.6394204520782436	0.5270577105014191	0.6126773888363293	utf-8	[260]	[259]	5	characters	True	single_id	squad	15	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.11190256480235661	True	0.2359094677016898	280	1256	2	lstm	3	True	0.3193724674442993	157	160	1	lstm	x,y,x*y	314	314	linear	True	0.4415654171156403	236	2936	2	lstm	0.2345022972386187	52	262	52	[1, 2, 3]	20	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7649.836	7999	8085	7961	6967	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.689178923549052	0.5	max	2	reduce_on_plateau	20	['0.9681360416886445', '0.9343731464574216']	0.00020141559471362544	adam	10	+em	7649.836	21759.0	0.9138917110925924	0.9546798479434697	15	0.9598662725541904	6765	6563	4963	4373	0.3675069449508571	0.8912887133414765	0.9205127912419091	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.632166508987701	0.631693472090823	0.7433209416008967	5.096482579809094	0.49735099337748345	0.5924314096499527	115000
