Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	29	0.7292	0.8195012951199012	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	38	64	basic	0.2												linear					bag_of_word_counts	classifier	2572.748	599	599	1221	829	903.0	599.0	707.0	1289.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00026531762184454785	adam	10	+accuracy	0.7586	2572.748	3554.0	38	599	599	291	593	599.0	599.0	599.0	599.0	0.7436164803565688	0	0.7292	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.8193205972261066
1	0	0.7934	0.5626099543480934	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.1		maxpool		True		415.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2607.804	599	599	599	741	593.0	599.0	1105.0	1179.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.008291494716830395	adam	10	+accuracy	0.9929	2607.804	89.0	9	599	599	599	741	593.0	599.0	1105.0	1179.0	0.020815423013535655	0	0.7068	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6098367458657374
2	0	0.7744	0.6138160866272601	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.0												linear					bag_of_word_counts	classifier	2572.876	1139	593	851	759	707.0	599.0	895.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.016446858572051366	adam	10	+accuracy	0.9927	2572.864	770.0	9	599	593	593	599	699.0	599.0	593.0	599.0	0.0292424452876684	0	0.7556	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7655987505671344
3	19	0.7856	0.595248091824447	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	28	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	151.0		154.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2584.388	725	599	599	599	599.0	599.0	767.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	5.375491533281466e-05	adam	10	+accuracy	0.8106	2584.388	129.0	28	725	599	599	599	599.0	599.0	235.0	599.0	0.5210053683466213	0	0.7844	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5946147057074535
4	10	0.785	0.5889034867286682	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	19	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	272.0		472.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2588.8	599	599	599	599	593.0	599.0	599.0	867.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	4.475374648325039e-05	adam	10	+accuracy	0.8222	2588.8	90.0	19	599	599	599	599	593.0	599.0	599.0	867.0	0.4872334749455665	0	0.7836	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5846261355695845
5	7	0.742	415.7431737199614	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	16	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	307.0		460.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2585.228	599	599	599	877	593.0	599.0	779.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.025447593792024343	adam	10	+accuracy	0.9915	2585.228	77.0	16	599	599	599	877	593.0	599.0	779.0	599.0	0.4327443346476099	0	0.7322	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	260.88098163846166
6	0	0.7838	0.6401695861846586	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6]	225.0		174.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2585.472	599	599	727	599	599.0	593.0	599.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.010932644019025023	adam	10	+accuracy	0.9883	2585.464	39.0	9	599	599	727	599	599.0	593.0	599.0	599.0	0.14782095971001186	0	0.7092	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	14.052213892152038
7	31	0.721	0.7783927223350429	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	40	64	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2581.68	599	613	599	599	599.0	593.0	613.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0003350929275683002	adam	10	+accuracy	0.7351	2581.68	109.0	40	599	613	599	599	599.0	593.0	613.0	599.0	0.7588739300229747	0	0.721	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7782694418219072
8	20	0.7464	0.6789460023747215	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	29	64	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2580.876	599	599	1223	599	599.0	599.0	613.0	599.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0007015768477714611	adam	10	+accuracy	0.7987	2580.876	83.0	29	599	0	1223	599	599.0	599.0	613.0	599.0	0.5870913455061092	0	0.7462	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6779442580440377
9	0	0.768	0.6234206459190272	False	10000	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2581.452	599	599	599	599	593.0	599.0	599.0	613.0	/home/suching/reproducibility/data/hatespeech/train_pretokenized_10k.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.05584766622472823	adam	10	+accuracy	0.9894	2581.44	27.0	9	599	599	599	599	593.0	599.0	599.0	613.0	0.05530057011089128	0	0.7144	/home/suching/reproducibility/data/hatespeech/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.1872090199325658
