	Unnamed: 0	best_epoch	best_validation_em	best_validation_end_acc	best_validation_f1	best_validation_loss	best_validation_span_acc	best_validation_start_acc	dataset_reader.sample	dataset_reader.token_indexers.token_characters.character_tokenizer.byte_encoding	dataset_reader.token_indexers.token_characters.character_tokenizer.end_tokens	dataset_reader.token_indexers.token_characters.character_tokenizer.start_tokens	dataset_reader.token_indexers.token_characters.min_padding_length	dataset_reader.token_indexers.token_characters.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.type	embedding	epoch	iterator.batch_size	iterator.sorting_keys	iterator.type	model.dropout	model.modeling_layer.bidirectional	model.modeling_layer.dropout	model.modeling_layer.hidden_size	model.modeling_layer.input_size	model.modeling_layer.num_layers	model.modeling_layer.type	model.num_highway_layers	model.phrase_layer.bidirectional	model.phrase_layer.dropout	model.phrase_layer.hidden_size	model.phrase_layer.input_size	model.phrase_layer.num_layers	model.phrase_layer.type	model.similarity_function.combination	model.similarity_function.tensor_1_dim	model.similarity_function.tensor_2_dim	model.similarity_function.type	model.span_end_encoder.bidirectional	model.span_end_encoder.dropout	model.span_end_encoder.hidden_size	model.span_end_encoder.input_size	model.span_end_encoder.num_layers	model.span_end_encoder.type	model.text_field_embedder.token_embedders.token_characters.dropout	model.text_field_embedder.token_embedders.token_characters.embedding.embedding_dim	model.text_field_embedder.token_embedders.token_characters.embedding.num_embeddings	model.text_field_embedder.token_embedders.token_characters.encoder.embedding_dim	model.text_field_embedder.token_embedders.token_characters.encoder.ngram_filter_sizes	model.text_field_embedder.token_embedders.token_characters.encoder.num_filters	model.text_field_embedder.token_embedders.token_characters.encoder.type	model.text_field_embedder.token_embedders.token_characters.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.mode	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.optimizer.betas	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_cpu_memory_MB	training_duration	training_em	training_end_acc	training_epochs	training_f1	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_span_acc	training_start_acc	training_start_epoch	validation_data_path	validation_em	validation_end_acc	validation_f1	validation_loss	validation_span_acc	validation_start_acc
0	0	12	0.6612109744560075	0.651844843897824	0.7579305450445434	3.0086532702243995	0.5303689687795649	0.6157994323557238	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.13894067842394714	True	0.31128331902126816	458	1672	3	lstm	3	True	0.41364311896082107	209	410	2	lstm	x,y,x*y	418	418	linear	True	0.34454006753104244	163	4420	2	lstm	0.2909263127348887	49	262	49	[1, 2, 3, 4, 5]	62	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7681.808000000001	7281	6883	7417	7615					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.395181659127402	0.5	max	2	reduce_on_plateau	20	['0.9157779926865425', '0.9312044912819705']	0.00011269485219630784	adam	10	+em	7681.808000000001	42699.0	0.8595303599356157	0.901905272891243	19	0.9354597891870404	6715	5555	6043	5841					0.6007321637766818	0.8230915878035138	0.8903069669745088	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6439924314096499	0.6421948912015137	0.7514311975533019	4.447159475349623	0.5151371807000946	0.6052034058656576
1	1	8	0.6511825922421949	0.6473982970671712	0.7504054156749541	2.9426501437503165	0.5251655629139073	0.6141911069063387	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	17	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.3707716946730989	True	0.11882237916268652	232	2000	3	lstm	1	True	0.17179910072677065	250	220	3	lstm	x,y,x*y	500	500	linear	True	0.027973003639208068	231	3392	1	lstm	0.2535210750663656	45	262	45	[1, 2, 3, 4, 5]	24	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7653.6280000000015	7023	8043	7617	7850					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.977078120714989	0.5	max	2	reduce_on_plateau	20	['0.9563417659442317', '0.9238901605928929']	0.0006290648955024023	adam	10	+em	7653.6280000000015	32387.000000000004	0.7892213381431294	0.8488110594869804	17	0.8881588354728516	5239	7731	5217	4969					1.02674830871766	0.7499857304307127	0.8288907407618809	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6377483443708609	0.6343424787133396	0.7388037688168383	3.737491084930576	0.5081362346263009	0.5983916745506149
2	2	11	0.012677388836329236	0.013718070009460738	0.04552917606541215	9.763397170628073	0.005203405865657522	0.021475875118259224	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4769051722564315	True	0.2471620957320182	441	2208	2	lstm	2	True	0.004284652999094253	276	250	1	lstm	x,y,x*y	552	552	linear	True	0.4518580229074077	205	4854	3	lstm	0.3294300600162402	19	262	19	[1, 2, 3]	50	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7660.288	7281	7045	7417	7615					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.003578131618704	0.5	max	2	reduce_on_plateau	20	['0.908842833833134', '0.9278006921459032']	0.09736922156252292	adam	10	+em	7660.288	36191.0	0.0006506923595018207	0.008778639025559653	19	0.06353044520736549	4691	5559	6043	6725					10.610957347225382	0.0002739757303165561	0.008550325916962524	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.007000946073793756	0.011920529801324504	0.03338375041717627	9.79809723968044	0.003595080416272469	0.01324503311258278
3	3	16	0.5269631031220435	0.5683065279091769	0.6507279568712562	3.4883350876925032	0.4220435193945128	0.5047303689687795	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.02137741044219044	True	0.2914502377088584	317	2456	3	lstm	2	True	0.0919348433798448	307	260	1	lstm	x,y,x*y	614	614	linear	True	0.3320513873039856	507	4358	3	lstm	0.018346340981135856	18	262	18	[1, 2, 3, 4]	40	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7729.984	7211	7103	7109	8085					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	5.420545345729123	0.5	max	2	reduce_on_plateau	20	['0.9107824183727542', '0.9930809800551247']	1.4639685512701478e-05	adam	10	+em	7729.984	50391.0	0.5918446557609105	0.7358074863868309	19	0.74729099357979	10	6853	7109	7803					2.307623128041829	0.5340129453532575	0.5955547437756139	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.5188268684957427	0.554872280037843	0.6458919698726097	3.789708180615112	0.41466414380321664	0.5035950804162724
4	4	1	0.02573320719016084	0.038694418164616835	0.07050088341916204	11.31870428985619	0.02128666035950804	0.0390728476821192	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	10	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.4768461972497139	True	0.27909400149862396	301	2120	2	lstm	1	True	0.1945979959856388	265	235	1	lstm	x,y,x*y	530	530	linear	True	0.2848844983012516	306	3926	3	lstm	0.2967137531426872	36	262	36	[1, 2, 3, 4, 5]	27	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7677.364	7221	7675	7879	7777					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.5682447605300425	0.5	max	2	reduce_on_plateau	20	['0.9620482604171426', '0.9062821714466857']	0.012713076225459866	adam	10	+em	7677.364	20199.0	0.0004908731834838298	0.008139362321487688	10	0.06357700549156665	7221	6893	7879	7777					10.07297085827344	0.0002739757303165561	0.009315174830762907	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.009176915799432356	0.006433301797540208	0.028406302885471912	9.769643260563377	0.0062440870387890255	0.021475875118259224
5	5	11	0.6726584673604541	0.6620624408703879	0.7642391605758271	2.605526649194478	0.5462630085146641	0.6278145695364239	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.1995573659298342	True	0.3310441317626561	459	672	3	lstm	1	True	0.4718456549217866	84	272	2	lstm	x,y,x*y	168	168	linear	True	0.187693884387099	510	3426	3	lstm	0.4343508135406189	35	262	35	[1, 2, 3, 4]	43	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7723.548000000002	7945	7835	7835	7607					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.00905661986953	0.5	max	2	reduce_on_plateau	20	['0.9956869307928163', '0.9796333660899377']	0.0003314634007116435	adam	10	+em	7723.548000000002	51299.0	0.788627724060777	0.8537083756663889	19	0.8905858457868023	7945	6965	0	0					0.959046963635645	0.7440039269854679	0.8197468007625658	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6644276253547776	0.653926206244087	0.7594169804006304	3.5224389907271347	0.5331125827814569	0.6147587511825923
6	6	0	0.10785241248817408	0.1639545884578997	0.19441467416935002	6.9286270830526675	0.09082308420056764	0.14957426679280986	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	9	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.16475884264843646	True	0.038375183662974766	507	1864	1	lstm	2	True	0.4787419443877414	233	172	1	lstm	x,y,x*y	466	466	linear	True	0.27479373001280805	162	4906	1	lstm	0.2810439390228208	37	262	37	[1, 2, 3]	24	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7657.335999999998	7143	7625	7767	6845					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	6.573555393397798	0.5	max	2	reduce_on_plateau	20	['0.9060681876978283', '0.9867682042820753']	0.017911945810627113	adam	10	+em	7657.335999999998	13103.0	0.002465781572849005	0.015628032283473557	9	0.06535675142200423	7143	7331	5157	6845					10.074536004959176	0.0019406614230756056	0.01662119430587107	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.006054872280037843	0.013150425733207191	0.06052374158867084	9.747566567967773	0.003878902554399243	0.02223273415326396
7	7	19	0.0814569536423841	0.14692526017029328	0.18715409928155013	7.188633354637156	0.06338694418164617	0.12317880794701988	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.2586863267556008	True	0.1083613629813967	446	1632	3	lstm	3	True	0.1180983027346842	204	151	1	lstm	x,y,x*y	408	408	linear	True	0.08496398995894411	323	4308	1	lstm	0.3912755206570801	52	262	52	[1, 2, 3]	17	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7672.764	7945	7835	7835	7607					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	7.637627420383575	0.5	max	2	reduce_on_plateau	20	['0.9211172664357545', '0.922465359122427']	1.3455631159730871e-06	adam	10	+em	7672.764	35731.0	0.06514914553819108	0.1383234968435713	19	0.15826884677346745	7945	5133	0	5183					7.298184200879103	0.05940707085697325	0.11860865991620907	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.0814569536423841	0.14692526017029328	0.18715409928155013	7.188633354637156	0.06338694418164617	0.12317880794701988
8	8	11	0.5599810785241249	0.5856196783349101	0.6760310581788285	3.2040985819070675	0.4488174077578051	0.5328287606433302	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.2764271849380842	True	0.0968414829883414	483	1360	1	lstm	1	True	0.19451655537110465	170	312	2	lstm	x,y,x*y	340	340	linear	True	0.0036995464332048593	504	4258	2	lstm	0.2721483176070507	60	262	60	[1, 2, 3, 4]	53	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7720.808000000001	7211	8047	7249	8085					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.259799530907989	0.5	max	2	reduce_on_plateau	20	['0.9043425149795542', '0.9416656767197007']	3.9103206738311185e-05	adam	10	+em	7720.808000000001	39227.0	0.6746652359045194	0.8631377070514503	19	0.8173062992887553	6381	7103	5553	8085					1.658239536470474	0.6140595212274113	0.6339341773307915	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.5463576158940397	0.5680227057710502	0.6684212609076745	3.9871493200130432	0.4367076631977294	0.5352885525070955
9	9	15	0.6701986754966888	0.6559129612109744	0.7649641504065906	3.4560242171727587	0.5360454115421003	0.6228003784295175	10000	utf-8	[260]	[259]	5	characters	True	single_id	squad	glove	19	16	[['passage', 'num_tokens'], ['question', 'num_tokens']]	bucket	0.2420916201197116	True	0.2420523880839243	254	920	3	lstm	2	True	0.06895299750937661	115	262	2	lstm	x,y,x*y	230	230	linear	True	0.002757081852296784	394	2444	2	lstm	0.0302818091800921	20	262	20	[1, 2, 3]	54	cnn	character_encoding	100	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.100d.txt.gz	False	embedding	bidaf	7657.052	8093	7783	8007	7287					https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-train-v1.1.json	0	9.42112013347483	0.5	max	2	reduce_on_plateau	20	['0.9377370589132535', '0.9320574240440852']	0.00038269487118010217	adam	10	+em	7657.052	35569.0	0.8185253256315711	0.8677382161896825	19	0.9136815177027292	4717	7783	5121	7287					0.8212552586252286	0.7732850831630498	0.8575782828571102	0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/squad/squad-dev-v1.1.json	0.6616840113528856	0.6494796594134342	0.7629717519217593	3.7689287077731337	0.5274361400189215	0.6199621570482498
