Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.elmo.archive_file	model.input_embedder.token_embedders.elmo.bos_eos_tokens	model.input_embedder.token_embedders.elmo.dropout	model.input_embedder.token_embedders.elmo.remove_bos_eos	model.input_embedder.token_embedders.elmo.requires_grad	model.input_embedder.token_embedders.elmo.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size
0	13	0.7740825688073395	0.4735732536230768	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	22	False	32	basic	0.4	['meanpool maxpool final_state']	True	328	50	2	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2536.192	645	1079	1067	1383	1257	869	635	925		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	5.731827962063652e-05	adam	10	+accuracy	0.8047687861271676	2536.192	204.0	22	637	10	1067	1383	1257	869	629	599	0.4231227867751627	0	0.7637614678899083	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.4758454305785043	10000
1	8	0.8084862385321101	0.5117532765226704	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	17	False	32	basic	0.1	['attention final_state maxpool']	True	188	50	2	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2526.484	1309	1079	727	599	1279	659	635	925		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00030413785306919537	adam	10	+accuracy	0.9479768786127168	2526.484	157.0	17	617	1079	727	599	1203	657	635	857	0.1400232672313666	0	0.7970183486238532	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.6434551865926811	10000
2	2	0.8153669724770642	0.4783644867794855	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	11	False	32	basic	0.0	['meanpool']	True	357	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2557.504	1077	663	1067	1383	0	0	629	605		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0010400921917417287	adam	10	+accuracy	0.998699421965318	2557.504	138.0	11	1077	0	1067	1383	0	0	629	0	0.0041052360808657064	0	0.7901376146788991	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	2.475262763244765	10000
3	2	0.8084862385321101	0.44284264902983395	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	11	False	32	basic	0.4	['maxpool attention final_state']	True	136	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2523.276	837	845	1169	853	749	1127	855	683		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0011181473575222944	adam	10	+accuracy	0.9971098265895952	2523.272	122.0	11	837	845	887	851	749	1127	609	647	0.009112487727355572	0	0.8027522935779816	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	1.741217662181173	10000
4	14	0.713302752293578	0.5711125614387649	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	23	False	32	basic	0.0	['attention final_state meanpool']	True	307	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2524.068	629	697	1067	1383	1257	869	619	925		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.0139934628005847e-05	adam	10	+accuracy	0.7002890173410404	2524.068	165.0	23	629	697	1067	1383	1257	869	619	599	0.5866054759322223	0	0.713302752293578	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.5698812252708844	10000
5	11	0.7924311926605505	0.4833259907151972	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	20	False	32	basic	0.3	['final_state meanpool maxpool']	True	446	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2567.712	801	1027	1465	841	1061	737	737	1409		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00011764882275540357	adam	10	+accuracy	0.8713872832369942	2567.712	270.0	20	771	1007	1465	841	1061	737	637	1409	0.3051758795839301	0	0.7844036697247706	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.4989033069993769	10000
6	4	0.8084862385321101	0.8906795201557023	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	13	False	32	basic	0.1	['attention']	True	444	50	3	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2570.1	1309	1079	923	853	1279	1127	635	657		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0026064135967943233	adam	10	+accuracy	0.9997109826589596	2570.1	175.0	13	1309	1079	713	599	1279	657	635	657	0.0018388012398360511	0	0.8050458715596329	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	1.519279162798609	10000
7	41	0.591743119266055	0.6841920954840524	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	49	False	32	basic	0.4	['attention']	True	227	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2519.948	1077	697	1067	1383	1257	869	629	925		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.05557988253537948	adam	10	+accuracy	0.6913294797687861	2519.948	347.0	49	1077	0	1067	1383	0	0	629	0	0.5768566411761095	0	0.5837155963302753	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.6854055310998645	10000
8	14	0.7408256880733946	0.5242564891065871	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	23	False	32	basic	0.1	['meanpool maxpool attention final_state']	True	158	50	1	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2521.696	791	1027	1335	841	1061	615	737	1303		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	3.459837911506965e-05	adam	10	+accuracy	0.7466763005780347	2521.696	162.0	23	791	905	1335	841	1061	615	631	1251	0.5146407401232126	0	0.7396788990825688	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.5235076972416469	10000
9	3	0.7924311926605505	0.4672780755375113	False	6919		True	single_id	just_spaces	semisupervised_text_classification_json	12	False	32	basic	0.1	['attention meanpool final_state']	True	424	50	2	lstm	seq2seq							50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2543.116	791	1027	1335	841	1015	615	737	649		/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00037322991371347824	adam	10	+accuracy	0.9673410404624276	2543.116	125.0	12	791	1027	1335	841	1015	615	623	649	0.0930028189540184	0	0.7763761467889908	/home/suching/reproducibility/data/sst2/dev.jsonl	False			True	single_id	just_spaces	semisupervised_text_classification_json	0.9593440171863352	10000
