Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.elmo.type	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.aggregations	model.encoder.architecture.bidirectional	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.num_layers	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.elmo.archive_file	model.input_embedder.token_embedders.elmo.bos_eos_tokens	model.input_embedder.token_embedders.elmo.dropout	model.input_embedder.token_embedders.elmo.remove_bos_eos	model.input_embedder.token_embedders.elmo.requires_grad	model.input_embedder.token_embedders.elmo.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.elmo.type	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size
0	24	0.8688	0.3747578646186032	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	33	False	64	basic	0.1	['final_state']	True	276	1074	1	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12186.308	7163	0	6907	4913						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0548635913596579	adam	10	+accuracy	0.8536682927677632	12186.308	18433.0	33	0	0	0	4913					0.4005355186051439	0	0.868	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.369443788558622	10000
1	4	0.931	0.22103071175044087	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	13	False	64	basic	0.1	['final_state attention']	True	113	1074	1	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12178.048	7009	4208	7231	5413						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0033125287724101644	adam	10	+accuracy	0.9971043226462841	12178.048	7879.000000000001	13	7009	4208	7231	5413					0.00844676785806425	0	0.9268	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.4329444968813582	10000
2	32	0.9	0.2959816137069388	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	41	False	64	basic	0.2	['maxpool attention']	True	287	1074	3	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12203.464	7257	0	5497	5703						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.2118247345817758e-06	adam	10	+accuracy	0.8970425829789824	12203.464	25292.0	41	7257	0	3273	5703					0.2956847806912564	0	0.9	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.2952141499594797	10000
3	13	0.9312	0.4536643355047401	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	22	False	64	basic	0.4	['meanpool final_state attention maxpool']	True	377	1074	2	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12205.7	7163	0	6883	3789						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00042879789443940586	adam	10	+accuracy	0.9979912868807554	12205.7	13842.0	22	7163	0	6883	3789					0.004247119486910194	0	0.93	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.5153859344464314	10000
4	4	0.9314	0.21458415300408493	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	13	False	64	basic	0.4	['final_state maxpool']	True	169	1074	3	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12188.816	7195	0	3467	5653						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.003606509617187421	adam	10	+accuracy	0.9953303941773408	12188.816	8095.000000000001	13	5445	0	3467	3667					0.012480920002524704	0	0.9268	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.5433878500627566	10000
5	2	0.9298	0.21564121723552293	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	11	False	64	basic	0.4	['maxpool meanpool attention final_state']	True	293	1074	2	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12196.992	3519	0	5353	5703						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00016733813998524142	adam	10	+accuracy	0.9954521343663858	12196.992	7116.0	11	3519	0	3419	5703					0.012829420909281788	0	0.9288	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.4198665552407126	10000
6	22	0.9072	0.2902779899820497	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	31	False	64	basic	0.1	['final_state']	True	180	1074	2	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12187.656	7195	0	5443	5653						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.03043261213926039	adam	10	+accuracy	0.8957295280828529	12187.656	17934.0	31	7195	0	5443	5653					0.3067286291020276	0	0.903	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.2827279111252555	10000
7	11	0.9308	0.20999324213289008	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	20	False	64	basic	0.1	['maxpool attention meanpool']	True	132	1074	1	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12172.936000000003	5559	7937	5493	5413						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00010860514716690413	adam	10	+accuracy	0.9706171358011808	12172.936000000003	11612.0	20	5559	2301	5493	5401					0.0892593475389328	0	0.9292	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.21427058216325845	10000
8	3	0.9292	0.23031910249515425	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	12	False	64	basic	0.1	['attention meanpool']	True	361	1074	1	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12195.212	5407	0	3503	5783						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.004423420482186354	adam	10	+accuracy	0.9962608370507572	12195.212	7528.000000000001	12	5407	0	3503	3571					0.011812067976891041	0	0.919	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.4856066169052185	10000
9	4	0.9326	0.20570401399384566	False	115000	elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	elmo frozen	13	False	64	basic	0.2	['final_state']	True	178	1074	2	lstm	seq2seq	s3://allennlp/models/transformer-elmo-2019.01.10.tar.gz	['<S>', '</S>']	0.0	True	False	bidirectional_lm_token_embedder	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	12194.188	7257	0	5497	6579						/home/suching/reproducibility/data/ag-news/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0010818420041703396	adam	10	+accuracy	0.9969825824572388	12194.188	7852.000000000001	13	7257	0	5497	3459					0.008078595436798511	0	0.9288	/home/suching/reproducibility/data/ag-news/dev_pretokenized.jsonl	False		elmo_characters	True	single_id	just_spaces	semisupervised_text_classification_json	0.4653220443125767	10000
